hmm_id	gene_name	bin_name	bit_score	e_value	other_stats
K00031	14_1009_09_40cm_scaffold_1915_9	Acidobacteria_gp5_AA69	750.9	2.2e-225	K00031.gCluster.1
K00031	14_0929_02_40cm_scaffold_138_4	Rokubacteria_AR20	740	4.5e-222	K00031.gCluster.1
K00031	14_0919_02_20cm_scaffold_60_29	Gemmatimonadetes_AG3	700.1	4.9e-210	K00031.gCluster.1
K00036	14_0929_02_40cm_scaffold_7020_7	Rokubacteria_AR20	636.1	6e-191	K00036.gCluster.1
K00030	14_1009_09_40cm_scaffold_2164_2	Acidobacteria_gp5_AA69	587.5	2.2e-176	K00030.gCluster.1
K00036	14_1009_09_40cm_scaffold_50679_2	Acidobacteria_gp5_AA69	514.9	2.9e-154	K00036.gCluster.1
K00024	14_1009_09_40cm_scaffold_1915_10	Acidobacteria_gp5_AA69	479.3	6.7e-144	K00024.gCluster.1
K00024	14_0919_02_20cm_scaffold_13_25	Gemmatimonadetes_AG3	473.7	3.3e-142	K00024.gCluster.1
K00024	14_0919_02_20cm_scaffold_60_3	Gemmatimonadetes_AG3	470.8	2.5e-141	K00024.gCluster.1
K00033	14_0929_02_40cm_scaffold_77_30	Rokubacteria_AR20	458.5	2.2e-137	K00033.gCluster.2
K00030	14_0919_02_20cm_scaffold_364_12	Gemmatimonadetes_AG3	457.5	5.5e-137	K00030.gCluster.1
K00033	14_1009_09_40cm_scaffold_42885_6	Acidobacteria_gp5_AA69	443.2	9.4e-133	K00033.gCluster.2
K00024	14_0929_02_40cm_scaffold_138_3	Rokubacteria_AR20	417.4	4.2e-125	K00024.gCluster.1
K00001	14_1009_09_40cm_scaffold_1261_16	Acidobacteria_gp5_AA69	381.9	2.6e-114	K00001.gCluster.4
K00033	14_1009_09_40cm_scaffold_31362_8	Acidobacteria_gp5_AA69	382.3	2.9e-114	K00033.gCluster.2
K00101	14_0929_02_40cm_scaffold_5_145	Rokubacteria_AR20	382.5	3.4e-114	K00101.gCluster.1
K00101	14_1009_09_40cm_scaffold_1437_3	Acidobacteria_gp5_AA69	375.4	4.9e-112	K00101.gCluster.1
K00001	14_0929_02_40cm_scaffold_1458_2	Rokubacteria_AR20	364.2	5.3e-109	K00001.gCluster.1
K00101	14_0929_02_40cm_scaffold_82_30	Rokubacteria_AR20	364.9	7e-109	K00101.gCluster.1
K00001	14_1009_09_40cm_scaffold_5492_10	Acidobacteria_gp5_AA69	340.4	9.1e-102	K00001.gCluster.1
K00001	14_0929_02_40cm_scaffold_28_65	Rokubacteria_AR20	339.7	1.9e-101	K00001.gCluster.3
K00001	14_0929_02_40cm_scaffold_24_77	Rokubacteria_AR20	321.4	5.2e-96	K00001.gCluster.1
K00001	14_0929_02_40cm_scaffold_501_15	Rokubacteria_AR20	307	1.2e-91	K00001.gCluster.2
K00001	14_0919_02_20cm_scaffold_104_52	Gemmatimonadetes_AG3	304.5	7.5e-91	K00001.gCluster.1
K00001	14_1009_09_40cm_scaffold_20135_3	Acidobacteria_gp5_AA69	299.5	2.3e-89	K00001.gCluster.2
K00001	14_1009_09_40cm_scaffold_9344_2	Acidobacteria_gp5_AA69	296.2	2.3e-88	K00001.gCluster.2
K00001	14_0919_02_20cm_scaffold_41_11	Gemmatimonadetes_AG3	288.2	6.4e-86	K00001.gCluster.2
K00001	14_0929_02_40cm_scaffold_13_65	Rokubacteria_AR20	286.7	1.8e-85	K00001.gCluster.2
K00001	14_1009_09_40cm_scaffold_4563_4	Acidobacteria_gp5_AA69	277.1	1.6e-82	K00001.gCluster.1
K00001	14_0919_02_20cm_scaffold_838_19	Gemmatimonadetes_AG3	275.5	4.9e-82	K00001.gCluster.1
K00001	14_0929_02_40cm_scaffold_69_17	Rokubacteria_AR20	272.8	3e-81	K00001.gCluster.2
K00030	14_1009_09_40cm_scaffold_1261_36	Acidobacteria_gp5_AA69	273.1	4.2e-81	K00030.gCluster.1
K00001	14_0929_02_40cm_scaffold_0_99	Rokubacteria_AR20	272.1	4.9e-81	K00001.gCluster.2
K00030	14_0919_02_20cm_scaffold_1234_20	Gemmatimonadetes_AG3	260.7	2.4e-77	K00030.gCluster.1
K00001	14_0929_02_40cm_scaffold_5_139	Rokubacteria_AR20	254.8	8.8e-76	K00001.gCluster.2
K00001	14_0929_02_40cm_scaffold_138_25	Rokubacteria_AR20	249.8	3e-74	K00001.gCluster.2
K00030	14_0929_02_40cm_scaffold_49_11	Rokubacteria_AR20	250.3	3.3e-74	K00030.gCluster.1
K00030	14_1009_09_40cm_scaffold_9484_5	Acidobacteria_gp5_AA69	246.3	5.5e-73	K00030.gCluster.1
K00001	14_0929_02_40cm_scaffold_138_26	Rokubacteria_AR20	243	3.6e-72	K00001.gCluster.2
K00001	14_0929_02_40cm_scaffold_178_89	Rokubacteria_AR20	240.7	1.8e-71	K00001.gCluster.2
K00001	14_0929_02_40cm_scaffold_0_139	Rokubacteria_AR20	238.9	5.9e-71	K00001.gCluster.2
K00001	14_1009_09_40cm_scaffold_1368_18	Acidobacteria_gp5_AA69	235.5	7.1e-70	K00001.gCluster.1
K00001	14_0929_02_40cm_scaffold_101_47	Rokubacteria_AR20	232.1	7.6e-69	K00001.gCluster.1
K00001	14_1009_09_40cm_scaffold_2719_6	Acidobacteria_gp5_AA69	231.1	1.5e-68	K00001.gCluster.1
K00001	14_0929_02_40cm_scaffold_101_5	Rokubacteria_AR20	230.7	2e-68	K00001.gCluster.1
K00001	14_1009_09_40cm_scaffold_6845_5	Acidobacteria_gp5_AA69	227.9	1.5e-67	K00001.gCluster.1
K00001	14_0929_02_40cm_scaffold_77_10	Rokubacteria_AR20	227.5	1.9e-67	K00001.gCluster.1
K00001	14_0929_02_40cm_scaffold_0_181	Rokubacteria_AR20	226.4	4e-67	K00001.gCluster.1
K00001	14_1009_09_40cm_scaffold_11453_1	Acidobacteria_gp5_AA69	222.2	7.9e-66	K00001.gCluster.1
K00001	14_1009_09_40cm_scaffold_628_38	Acidobacteria_gp5_AA69	219.9	3.6e-65	K00001.gCluster.2
K00001	14_0919_02_20cm_scaffold_2_119	Gemmatimonadetes_AG3	218.4	1.1e-64	K00001.gCluster.1
K00030	14_0919_02_20cm_scaffold_30_14	Gemmatimonadetes_AG3	218.2	1.8e-64	K00030.gCluster.1
